"Informazioni cronologiche","Are you familiar with Machine Learning and/or Artificial Intelligence?","Have you ever used Deep Learning models for Natural Language Processing?","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]"," Was the task of the survey clear?","Were the proposed explanations easy to understand?","Do you have any other comments?"
"2021/03/26 12:14:01 AM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/26 12:31:03 AM EET","No","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","4",""
"2021/03/26 1:14:08 AM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","5","The explanations seem to be unusually contradictory. It is almost like they are complements of each other. I fail to understand why the explanations are so contradicting. They should instead explain the selected class to some accuracy at least"
"2021/03/26 2:04:26 AM EET","No","No","Relevant","Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Relevant","4","4",""
"2021/03/26 4:14:27 AM EET","No","No","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","3","3",""
"2021/03/26 6:03:06 AM EET","No","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","3","4",""
"2021/03/26 10:06:13 AM EET","Yes","No","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","4","5",""
"2021/03/26 10:08:41 AM EET","No","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","3","3",""
"2021/03/26 10:09:09 AM EET","Yes","Yes","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","4",""
"2021/03/26 10:20:06 AM EET","No","No","Relevant","Not relevant","Very Relevant","Relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","5","5",""
"2021/03/26 12:19:39 PM EET","Yes","No","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/26 12:44:33 PM EET","No","No","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/26 12:50:04 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","5",""
"2021/03/26 2:01:36 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","4",""
"2021/03/26 3:24:31 PM EET","No","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","4",""
"2021/03/26 3:51:25 PM EET","No","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4","in the first part of survey there is a duplicate"
"2021/03/26 6:30:15 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5","Your algorithm seems precise, good job! :)"
"2021/03/26 7:53:53 PM EET","Yes","No","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","5","4",""
"2021/03/26 8:00:07 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","4",""
"2021/03/26 8:32:45 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","3","4",""
"2021/03/26 10:33:43 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","4","Can you please share the Github link for the models if they are written in Python 3. TIA"
"2021/03/27 10:59:09 AM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","4","3",""
"2021/03/27 12:48:06 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","4",""
"2021/03/27 5:02:19 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","4",""
"2021/03/27 6:40:33 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","4",""
"2021/03/29 9:29:04 AM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","4",""
"2021/03/29 5:47:16 PM EET","No","No","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","3","3",""
"2021/03/30 5:48:20 PM EET","Yes","Yes","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","4",""
"2021/03/31 9:19:50 AM EET","Yes","No","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","3",""
"2021/03/31 10:37:44 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","5",""
"2021/04/01 9:41:38 AM EET","Yes","No","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","5",""
"2021/04/02 3:37:17 PM EET","Yes","Yes","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","4","3",""
